auxiliary_rate,conjugate_rate,normalization_rate,tobe_verb_rate,preposition_rate,pronoun_rate
0.013323464,0.03330866,0.034048853,0.035159141,0.121391562,0.089563287
0.014363354,0.030667702,0.01876294,0.036749482,0.095885093,0.10300207
0.019027969,0.033241632,0.030719853,0.037826685,0.11829436,0.124254929
0.023415978,0.042699725,0.016873278,0.046831956,0.122589532,0.104338843
0.021172638,0.041530945,0.023412052,0.038884365,0.130700326,0.102605863
0.01761583,0.036920849,0.023648649,0.043194981,0.13730695,0.098938224
0.011079619,0.039036331,0.018423087,0.04225715,0.111698016,0.11234218
0.026247046,0.038064436,0.008956338,0.038313223,0.09864411,0.16395074
0.021586821,0.033705738,0.018557091,0.041090703,0.099791706,0.123840182
0.023666093,0.052065405,0.018932874,0.027538726,0.131239243,0.108433735
0.012794057,0.042591828,0.015187784,0.037804375,0.110276517,0.118613289
0.021806288,0.039614756,0.018171906,0.044702889,0.131382882,0.130110849
0.010373444,0.028008299,0.038381743,0.067427386,0.112033195,0.074688797
0.013300793,0.03514338,0.015497254,0.032702868,0.13361806,0.140085418
0.016758242,0.05054945,0.025274725,0.036538462,0.106043956,0.109615385
0.028140294,0.037112561,0.018352365,0.038743883,0.123572594,0.137846656
0.006675567,0.036048064,0.014686248,0.052069426,0.126835781,0.117489987
0.013218771,0.038775061,0.015642212,0.056840714,0.125358008,0.132408019
0.019449301,0.041520979,0.030375874,0.041958042,0.112106643,0.144449301
0.02143951,0.043261868,0.039050536,0.038667688,0.097243492,0.134762634
0.018841784,0.040731505,0.024383486,0.036575229,0.112773622,0.121363259
0.020238095,0.030952381,0.022619048,0.052380952,0.102380952,0.098809524
0.01517382,0.050277432,0.020269505,0.040652248,0.094779753,0.120258181
0.012272535,0.046974185,0.017350825,0.050782903,0.104951333,0.148963182
0.017988166,0.041420118,0.018698225,0.057278107,0.125207101,0.113136095
0.012875537,0.035895435,0.018728053,0.047990636,0.138509559,0.091689427
0.018979654,0.02960826,0.023990282,0.045399332,0.122077133,0.122532645
0.0,0.093023256,0.023255814,0.069767442,0.023255814,0.279069767
0.014940386,0.045949659,0.016167018,0.044355037,0.1129974,0.117266081
0.028688525,0.045081967,0.036885246,0.036885246,0.110655738,0.139344262
0.02293819,0.03344423,0.013132551,0.039922956,0.117142357,0.129924707
0.016356877,0.037769517,0.022156134,0.039851301,0.108847584,0.14394052
0.018540318,0.027663331,0.035609182,0.040612125,0.126839317,0.10476751
0.014001077,0.040926225,0.016155089,0.060312332,0.127086699,0.141626279
0.015343969,0.023066761,0.016156895,0.025708769,0.128137384,0.130982624
0.011607911,0.038907997,0.026440241,0.032244196,0.113929493,0.102966466
0.017099175,0.036008851,0.013277007,0.043552605,0.103299135,0.152685576
0.02407932,0.039660057,0.026912181,0.04674221,0.140226629,0.121813031
0.012557832,0.03172505,0.023793787,0.037012558,0.105089227,0.127561137
0.02140411,0.033533105,0.010987443,0.046518265,0.087471461,0.121860731
0.016838488,0.043298969,0.026460481,0.039862543,0.105498282,0.142268041
0.016875811,0.039809606,0.024087697,0.048463868,0.123467474,0.127217655
0.014322439,0.05839148,0.017260375,0.039294895,0.133676093,0.113845024
0.017013656,0.043205731,0.033691516,0.04432505,0.112155809,0.090664876
0.01187276,0.029121864,0.032706093,0.057123656,0.120519713,0.114471326
0.013838149,0.030886749,0.01129193,0.037418355,0.117458209,0.135171039
0.017517842,0.030401335,0.013624988,0.051626657,0.120400408,0.146538141
0.020141535,0.027218291,0.055525313,0.041371802,0.126837235,0.107240065
0.021470448,0.030106164,0.007843448,0.033275234,0.096260498,0.144034226
0.01356507,0.044934294,0.016391126,0.05426028,0.099618482,0.138476756
0.011658718,0.059353471,0.036565978,0.040805511,0.101218866,0.098039216
0.015634184,0.039849536,0.02785941,0.038203832,0.104854825,0.119078406
0.020626896,0.041658241,0.021233569,0.035995955,0.134074823,0.117290192
0.024193548,0.030017921,0.030913979,0.03718638,0.098566308,0.114247312
0.007002801,0.039215686,0.026143791,0.042016807,0.14659197,0.104575163
0.015342653,0.033412888,0.021820661,0.041254688,0.112512786,0.111489942
0.014926632,0.040479002,0.025636701,0.033057851,0.124135605,0.115702479
0.01461039,0.045183983,0.012851732,0.037472944,0.106195887,0.128652597
0.014981033,0.038577766,0.016652736,0.034527101,0.112968559,0.113611522
0.016324512,0.047242147,0.019045263,0.042295325,0.109324759,0.113282216
0.013136289,0.027640941,0.020251779,0.043240285,0.102900931,0.133552272
0.042944785,0.042944785,0.012269939,0.018404908,0.190184049,0.116564417
0.015507311,0.040762074,0.023925565,0.04785113,0.103677448,0.112981834
0.021043528,0.037474777,0.034592102,0.041510522,0.122225425,0.120207553
0.012326656,0.048151002,0.030046225,0.042372881,0.100924499,0.118644068
0.010646388,0.036882129,0.013307985,0.042015209,0.149619772,0.110456274
0.017784365,0.044831419,0.031493146,0.042237866,0.140792886,0.103742127
0.023130608,0.047856431,0.023030907,0.041176471,0.106779661,0.110667996
0.005552471,0.03053859,0.027207107,0.042198779,0.126596335,0.071626874
0.012351327,0.037511436,0.017535834,0.042543458,0.098353157,0.150808173
0.02425876,0.033962264,0.029649596,0.049056604,0.115902965,0.109973046
0.0,0.12,0.0,0.04,0.06,0.08
0.017448624,0.027142303,0.025591315,0.048468399,0.108569213,0.132609539
0.023764706,0.047411765,0.021176471,0.045764706,0.113529412,0.164941177
0.018769304,0.040864814,0.02209551,0.04537895,0.115229271,0.130197197
0.015632184,0.04,0.021609195,0.042758621,0.109885058,0.137471264
0.014293722,0.044422646,0.022561659,0.045823991,0.135790359,0.134669283
0.020335536,0.044483986,0.020589731,0.04168785,0.124300966,0.102948653
0.017971246,0.039736422,0.014976038,0.035543131,0.12879393,0.124201278
0.014995314,0.047797563,0.010309278,0.048422368,0.121368322,0.137457045
0.028460814,0.044574657,0.024589306,0.044260751,0.101182379,0.142513341
0.013454146,0.037067545,0.023887974,0.043657331,0.106260297,0.144700714
0.015002885,0.050778996,0.025389498,0.050201962,0.140219273,0.139642239
0.013915244,0.049019608,0.016445288,0.042694497,0.10341556,0.127767236
0.01436323,0.043728056,0.035110118,0.046919885,0.114905841,0.126396425
0.035100287,0.032951289,0.01217765,0.042979943,0.103151863,0.11747851
0.022866476,0.05798285,0.018783177,0.043691303,0.104940792,0.145773785
0.019556025,0.056289641,0.011892178,0.050211417,0.127378436,0.144027484
0.011527378,0.039385207,0.015369837,0.045148895,0.155619597,0.135446686
0.016339869,0.043572985,0.020697168,0.074074074,0.086056645,0.191721133
0.018668326,0.045737399,0.019912881,0.037025513,0.117299316,0.112943373
0.014046623,0.047220562,0.019127316,0.047818291,0.127615063,0.099222953
0.010904154,0.030421316,0.013280156,0.035130892,0.1282617,0.099707243
0.012526096,0.03131524,0.040361865,0.057759221,0.14335421,0.102992345
0.015248339,0.036064537,0.014995255,0.033596963,0.119645682,0.125466624
0.014301583,0.038322688,0.017772841,0.026381561,0.140794224,0.136073313
0.013359351,0.038276794,0.016961873,0.044881417,0.116331432,0.12188532
0.012682188,0.051959114,0.020253644,0.048362673,0.114991482,0.136948703
0.019081694,0.041383423,0.023136553,0.041025641,0.119379845,0.129159213
0.011385199,0.038492817,0.019517484,0.048522635,0.110870155,0.147465438
0.012124502,0.030039812,0.013391241,0.044878755,0.090119435,0.153727832
0.016236867,0.053486151,0.030563515,0.043935053,0.112702961,0.124164279
0.021813224,0.039536469,0.018064076,0.045330607,0.114178596,0.122017723
0.024548483,0.042083114,0.028932141,0.046116079,0.117131334,0.126775381
0.01986755,0.037842952,0.012298959,0.052980133,0.088930937,0.199621571
0.016564834,0.046571623,0.01167685,0.04059742,0.146639511,0.124100475
0.006877149,0.043451079,0.01219131,0.032822757,0.118787121,0.124413879
0.010869565,0.046956522,0.03,0.036956522,0.128695652,0.090434783
0.02147584,0.036833562,0.00811587,0.054563616,0.110375827,0.136846048
0.017042606,0.039097744,0.010776942,0.036842105,0.106766917,0.135087719
0.012625612,0.036588508,0.027827879,0.043803143,0.120329812,0.091986601
0.012871444,0.0378198,0.044652789,0.054505006,0.090417925,0.128396631
0.015755811,0.03166762,0.017627789,0.043627477,0.107638708,0.117726587
0.022581859,0.041023711,0.033496425,0.048174633,0.110274746,0.10801656
0.014339941,0.033319275,0.017011106,0.037396317,0.111486012,0.109236609
0.019276161,0.051140834,0.014948859,0.054681353,0.11054288,0.11054288
0.008362369,0.029965157,0.036236934,0.05087108,0.080139373,0.101045296
0.016493673,0.036968577,0.019621783,0.035973269,0.119579127,0.119294753
0.010903427,0.037383178,0.015576324,0.040498442,0.109034268,0.101246106
0.021066491,0.04279131,0.023699803,0.038841343,0.094140882,0.13759052
0.016967707,0.051997811,0.023535851,0.039408867,0.103995621,0.112205802
0.021441775,0.040110906,0.003696858,0.035489834,0.128465804,0.155083179
0.019674835,0.044062206,0.025801131,0.03899623,0.125117813,0.108270499
0.012907191,0.037799631,0.021819299,0.046404425,0.126920713,0.120467117
0.011084482,0.042840024,0.010485321,0.074895147,0.115937687,0.173756741
0.009431792,0.062111801,0.009661836,0.063722107,0.093627789,0.161490683
0.009451109,0.04343875,0.014721919,0.034896401,0.146855689,0.099054889
0.018878101,0.030204962,0.023193096,0.024811219,0.107874865,0.127831715
0.019332665,0.034369182,0.020621509,0.044966347,0.118000859,0.152513247
0.015406163,0.062745098,0.017366947,0.048459384,0.106442577,0.106162465
0.021791079,0.03669777,0.018377333,0.041590806,0.12366295,0.133306782
0.020611426,0.024623046,0.026283027,0.047032785,0.122423572,0.148983262
0.010631645,0.040025016,0.011257036,0.048155097,0.101938712,0.127579737
0.016905377,0.036745715,0.029701808,0.042967833,0.120098615,0.128551303
0.013094222,0.028750356,0.024053515,0.036578423,0.096925704,0.108738969
0.016473514,0.030682474,0.020336575,0.039918299,0.114115714,0.132631766
0.01232493,0.036694678,0.021288515,0.056302521,0.093277311,0.12745098
0.018544936,0.04850214,0.035663338,0.041369472,0.129814551,0.084165478
0.013094762,0.038684526,0.025389844,0.046781288,0.109856058,0.119352259
0.010069907,0.042942743,0.01123502,0.034870173,0.126165113,0.122503329
0.007575758,0.034965035,0.027389277,0.034965035,0.105477856,0.070512821
0.028417227,0.025883908,0.013547748,0.042515696,0.080185042,0.12479348
0.012600229,0.025773196,0.038373425,0.036655212,0.10137457,0.077319588
0.012844037,0.041284404,0.015334207,0.035124509,0.140235911,0.095412844
0.013433258,0.037754525,0.013716063,0.047794118,0.141544118,0.137019231
0.015384615,0.035681965,0.020168067,0.044085326,0.106658048,0.124628313
0.012865497,0.03625731,0.029239766,0.031578947,0.119298246,0.099415205
0.01783362,0.043368122,0.022798663,0.027054413,0.123518087,0.107305705
0.029637378,0.042887029,0.015690377,0.04846583,0.112273361,0.128312413
