auxiliary_rate,conjugate_rate,normalization_rate,tobe_verb_rate,preposition_rate,pronoun_rate,document_entropy,easiness,fraction_stopword_coverage,fraction_stopword_presence,subject_domain,freshness,title_word_count,word_count,most_covered_topic,topic_coverage,duration,lecture_type,has_parts,speaker_speed,silent_period_rate,median_engagement
0.013323464,0.03330866,0.034048853,0.035159141,0.121391562,0.089563287,7.753994717,75.58393595,0.428134557,0.553663953,stem,16310,9,2668,http://en.wikipedia.org/wiki/Kernel_density_estimation,0.414577635,890,vl,False,2.997752809,0.0,0.502923397
0.014363354,0.030667702,0.01876294,0.036749482,0.095885093,0.10300207,8.305268689,86.87052311,0.602446483,0.58449793,,15410,6,7512,http://en.wikipedia.org/wiki/Interest_rate,0.292437171,2850,vl,False,2.635789474,0.0,0.011988772
0.019027969,0.033241632,0.030719853,0.037826685,0.11829436,0.124254929,7.965582864,81.91596845,0.525993884,0.605685465,stem,15680,3,4264,http://en.wikipedia.org/wiki/Normal_distribution,0.271423552,1680,vit,False,2.538095238,0.0,0.04162666
0.023415978,0.042699725,0.016873278,0.046831956,0.122589532,0.104338843,8.142876983,80.14893717,0.504587156,0.593663912,stem,15610,9,2869,http://en.wikipedia.org/wiki/Matrix_(mathematics),0.308091836,1270,vl,False,2.259055118,0.0,0.064989395
0.021172638,0.041530945,0.023412052,0.038884365,0.130700326,0.102605863,8.161250122,76.90754874,0.559633028,0.581636808,,14920,9,4840,http://en.wikipedia.org/wiki/Transport,0.414219284,2000,vkn,False,2.42,0.0,0.052154192
0.01761583,0.036920849,0.023648649,0.043194981,0.13730695,0.098938224,8.182951921,76.68413294,0.52293578,0.575289575,misc,16180,10,4108,http://en.wikipedia.org/wiki/Time,0.338298352,1830,vl,False,2.244808743,0.0,0.256299575
0.011079619,0.039036331,0.018423087,0.04225715,0.111698016,0.11234218,8.10163486,85.30317307,0.596330275,0.600231899,,12760,10,7523,http://en.wikipedia.org/wiki/Phase_diagram,0.438675436,3060,vl,False,2.458496732,0.196126299,0.032233236
0.026247046,0.038064436,0.008956338,0.038313223,0.09864411,0.16395074,7.733063619,97.57219013,0.584097859,0.687274537,,11460,9,7790,http://en.wikipedia.org/wiki/Rank_(linear_algebra),0.212773653,3910,vl,False,1.992327366,0.289207627,0.015062611
0.021586821,0.033705738,0.018557091,0.041090703,0.099791706,0.123840182,8.219794107,87.00897467,0.541284404,0.600454459,,15070,7,5112,http://en.wikipedia.org/wiki/Machine_learning,0.298584762,2980,vl,False,1.715436242,0.0,0.025881958
0.023666093,0.052065405,0.018932874,0.027538726,0.131239243,0.108433735,7.71418174,88.65047847,0.437308869,0.617900172,stem,14840,10,2299,http://en.wikipedia.org/wiki/Photon,0.300572898,1040,vl,False,2.210576923,0.0,0.031795169
0.012794057,0.042591828,0.015187784,0.037804375,0.110276517,0.118613289,8.715222806,84.43267341,0.675840979,0.589764754,,15040,3,11798,http://en.wikipedia.org/wiki/Stress_(biology),0.304555057,4270,vl,False,2.762997658,0.0,0.060075346
0.021806288,0.039614756,0.018171906,0.044702889,0.131382882,0.130110849,8.095788902,84.31858738,0.584097859,0.625840451,,13910,8,5382,http://en.wikipedia.org/wiki/Artificial_intelligence,0.198651391,2190,vl,False,2.457534247,0.215046316,0.046700359
0.010373444,0.028008299,0.038381743,0.067427386,0.112033195,0.074688797,6.428691666,80.6340242,0.22324159,0.654564315,stem,17400,11,956,http://en.wikipedia.org/wiki/List_of_DOS_commands,0.007550356,1180,vl,False,0.810169492,0.622948845,0.44742868
0.013300793,0.03514338,0.015497254,0.032702868,0.13361806,0.140085418,8.245118495,87.49943703,0.590214067,0.614032947,,15200,5,8195,http://en.wikipedia.org/wiki/Artificial_intelligence,0.360399439,2940,vit,,2.787414966,0.0,0.036862061
0.016758242,0.05054945,0.025274725,0.036538462,0.106043956,0.109615385,8.075497607,80.12093679,0.452599388,0.578846154,stem,14780,1,3566,http://en.wikipedia.org/wiki/Machine_learning,0.336181366,1400,vl,,2.547142857,0.219737369,0.087386752
0.028140294,0.037112561,0.018352365,0.038743883,0.123572594,0.137846656,7.677043685,84.33604388,0.437308869,0.626019576,,14500,5,2429,http://en.wikipedia.org/wiki/Causality,0.313662366,1340,vl,False,1.812686567,0.372209475,0.073203276
0.006675567,0.036048064,0.014686248,0.052069426,0.126835781,0.117489987,7.498832754,85.56519173,0.308868502,0.604806409,stem|misc,15500,8,733,http://en.wikipedia.org/wiki/Social_media,0.342622073,360,vps,False,2.036111111,0.0,0.221441011
0.013218771,0.038775061,0.015642212,0.056840714,0.125358008,0.132408019,8.107111028,87.95737509,0.574923547,0.638907248,stem,14010,4,4443,http://en.wikipedia.org/wiki/Time,0.334159213,1730,vkn,False,2.568208092,0.228035474,0.092519742
0.019449301,0.041520979,0.030375874,0.041958042,0.112106643,0.144449301,7.916329772,83.53792496,0.529051988,0.644230769,misc,14050,12,4475,http://en.wikipedia.org/wiki/Computer,0.282905968,1840,vkn,,2.432065217,0.280979491,0.051558087
0.02143951,0.043261868,0.039050536,0.038667688,0.097243492,0.134762634,7.964062879,81.97303115,0.452599388,0.577718224,stem,17390,7,2578,http://en.wikipedia.org/wiki/Sentiment_analysis,0.337383582,1070,vl,False,2.409345794,0.011811941,0.188384955
0.018841784,0.040731505,0.024383486,0.036575229,0.112773622,0.121363259,8.067037011,80.81760143,0.519877676,0.587974508,stem,13770,6,3529,http://en.wikipedia.org/wiki/Machine_learning,0.320522592,1290,vl,False,2.735658915,0.201446421,0.191577348
0.020238095,0.030952381,0.022619048,0.052380952,0.102380952,0.098809524,7.356005018,72.50193386,0.281345566,0.517857143,,14950,3,834,http://en.wikipedia.org/wiki/Data_warehouse,0.578012041,420,vl,,1.985714286,0.0,0.366492857
0.01517382,0.050277432,0.020269505,0.040652248,0.094779753,0.120258181,8.41266958,82.38472497,0.633027523,0.598233496,,15420,7,8677,http://en.wikipedia.org/wiki/Atom,0.312119981,3430,vl,False,2.529737609,0.0,0.026493732
